,#,Reached number one,Artist(s),Single,Weeks atnumber one
115,1086,"April 13, 2019",Lil Nas X solo or featuring Billy Ray Cyrus2,"""Old Town Road"" ♪ [120]",19
116,1087,"August 24, 2019",Billie Eilish,"""Bad Guy""",1
117,1088,"August 31, 2019",Shawn Mendes and Camila Cabello,"""Señorita""",1
118,1089,"September 7, 2019",Lizzo,"""Truth Hurts""",7
119,1090,"October 19, 2019",Travis Scott,"""Highest in the Room""",1
120,1091,"November 2, 2019",Lewis Capaldi,"""Someone You Loved""",3
121,1092,"November 9, 2019",Selena Gomez,"""Lose You to Love Me""",1
122,1093,"November 30, 2019",Post Malone,"""Circles""",3
123,1094,"December 14, 2019",The Weeknd,"""Heartless""",1
124,1095,"December 21, 2019",Mariah Carey,"""All I Want for Christmas Is You""",33
